City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,koesan,36.8108,127.7947,10.55,86,100,6.4,KR,1702276330
169,aasiaat,68.7098,-52.8699,-3.39,94,100,5.73,GL,1702276330
170,karratha,-20.7377,116.8463,33.67,16,2,5.99,AU,1702276169
171,yanchep,-31.55,115.6833,34.45,26,0,3.27,AU,1702276330
172,berdigestyakh,62.0989,126.6992,-27.7,94,100,4.04,RU,1702276330
173,san luis de la loma,17.2706,-100.8939,25.84,73,100,1.71,MX,1702276330
174,vung tau,10.346,107.0843,28.82,69,99,7.13,VN,1702276330
175,hauterive,46.0901,3.4459,16.42,88,100,4.82,FR,1702276330
176,sarupathar,26.1984,93.8094,22.12,62,4,2.01,IN,1702276331
177,ar rutbah,33.0381,40.2848,15.48,49,100,7.4,IQ,1702276331
178,kodiak,57.79,-152.4072,4.73,87,75,2.06,US,1702276331
179,saint-philippe,-21.3585,55.7679,28.77,84,45,4.77,RE,1702276331
180,gizo,-8.103,156.8419,28.02,73,100,2.07,SB,1702276331
181,itaituba,-4.2761,-55.9836,23.09,100,100,0.83,BR,1702276285
182,whitehorse,60.7161,-135.0538,-8.88,79,75,6.71,CA,1702276331
183,villarrobledo,39.2699,-2.6012,9.92,96,26,1.62,ES,1702276331
184,ardakan,32.31,54.0175,17.66,17,99,0.42,IR,1702276331
185,marka,1.7159,44.7717,29.61,66,72,6.03,SO,1702276331
186,cockburn town,21.4612,-71.1419,26.38,71,0,9.84,TC,1702276332
187,puerto eldorado,-26.4084,-54.6946,19.36,100,35,0.58,AR,1702276276
188,amga,60.8953,131.9608,-27.13,94,100,3.23,RU,1702276332
189,olavarria,-36.8927,-60.3225,14.18,83,1,4.14,AR,1702276276
190,kerikeri,-35.2268,173.9474,19.95,63,42,0.89,NZ,1702276332
191,tazovsky,67.4667,78.7,-22.78,97,100,5.09,RU,1702276332
192,carnaiba,-8.7,-37.6667,23.76,62,100,1.82,BR,1702276332
193,chanasma,23.7167,72.1167,26.57,31,0,1.2,IN,1702276333
194,hithadhoo,-0.6,73.0833,28.21,75,54,3.81,MV,1702276333
195,kingston,17.997,-76.7936,26.53,83,20,4.12,JM,1702276118
196,vila velha,-20.3297,-40.2925,22.97,95,75,2.57,BR,1702276082
197,ushuaia,-54.8,-68.3,3.81,75,0,2.06,AR,1702276333
198,san clemente,33.427,-117.612,18.68,33,100,0.83,US,1702276206
199,brookings,44.3114,-96.7984,-6.01,82,0,2.57,US,1702276333
200,jamestown,42.097,-79.2353,2.77,96,100,3.6,US,1702276334
201,osakarovka,50.565,72.5692,-23.52,84,100,6.3,KZ,1702276334
202,yelizovo,53.1873,158.3805,-0.92,86,75,3.0,RU,1702276334
203,ust'-kut,56.7938,105.7672,-28.65,89,29,0.45,RU,1702276334
204,ben gardane,33.1378,11.2197,13.71,50,1,3.9,TN,1702276334
205,es castell,39.8795,4.2854,15.38,100,40,3.09,ES,1702276334
206,naze,28.3667,129.4833,24.51,80,3,5.33,JP,1702276335
207,jabat,7.75,168.9751,27.65,80,68,10.12,MH,1702276335
